protein_id,keywords,cluster
NC_075036.1_6,ankyrin repeat/endonuclease domain-containing protein,PC_0
NC_075036.1_1161,ankyrin repeat/endonuclease domain-containing protein,PC_0
NC_075036.1_10,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1163,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_11,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_18,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_37,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_16,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1168,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_7,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1121,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1133,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1159,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1151,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_33,ankyrin repeat/ATPase domain-containing protein,PC_0
NC_075036.1_1148,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1120,ankyrin repeat/DNA polymerase domain-containing protein,PC_0
NC_075036.1_1128,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1171,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1098,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1105,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1132,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_35,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_81,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1114,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1169,ankyrin repeat/ATP synthase domain-containing protein,PC_0
NC_075036.1_80,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1140,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_26,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_8,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1165,ankyrin repeat/4HB MCP domain-containing protein,PC_0
NC_075036.1_14,ankyrin repeat domain-containing protein,PC_0
NC_075036.1_1118,ankyrin repeat domain-containing protein,PC_0
